Randomizer Version: 4.6.1
Random Seed: 185627346158531
Settings String: 322IwgkEQIBAAQABwAEAAKoJBkCKgEAKgAVCQABAAAAAAMAAAAIMgQyAQAICTIHBwAyAAIQElBva2Vtb24gT21lZ2EgUnVieSnhlLfjwziK

--Move Updates--
Made RAZOR WIND have 100% accuracy
Made SWORDS DANCE have 20 PP
Made FLY have 90 power
Made BIND have 85% accuracy
Made VINE WHIP have 45 power and 25 PP
Made JUMP KICK have 100 power and 10 PP
Made TACKLE have 40 power and 100% accuracy
Made WRAP have 90% accuracy
Made THRASH have 120 power and 10 PP
Made PIN MISSILE have 25 power and 95% accuracy
Made DISABLE have 100% accuracy
Made FLAMETHROWER have 90 power
Made HYDRO PUMP have 110 power
Made SURF have 90 power
Made ICE BEAM have 90 power
Made BLIZZARD have 110 power
Made SUBMISSION have 20 PP
Made LOW KICK have 100% accuracy
Made ABSORB have 25 PP
Made MEGA DRAIN have 15 PP
Made GROWTH have 20 PP
Made PETAL DANCE have 120 power and 10 PP
Made FIRE SPIN have 35 power and 85% accuracy
Made THUNDERBOLT have 90 power
Made THUNDER WAVE have 90% accuracy
Made THUNDER have 110 power
Made DIG have 80 power
Made TOXIC have 90% accuracy
Made RECOVER have 10 PP
Made MINIMIZE have 10 PP
Made BARRIER have 20 PP
Made LICK have 30 power
Made SMOG have 30 power
Made FIRE BLAST have 110 power
Made CLAMP have 15 PP and 85% accuracy
Made SKULL BASH have 130 power and 10 PP
Made HI JUMP KICK have 130 power and 10 PP
Made GLARE have 100% accuracy
Made POISON GAS have 90% accuracy
Made LEECH LIFE have 80 power and 10 PP
Made BUBBLE have 40 power
Made FLASH have 100% accuracy
Made PSYWAVE have 100% accuracy
Made ACID ARMOR have 20 PP
Made CRABHAMMER have 100 power and 90% accuracy
Made THIEF have 60 power and 25 PP
Made SNORE have 50 power
Made CURSE be GHOST-type
Made COTTON SPORE have 100% accuracy
Made SCARY FACE have 100% accuracy
Made ZAP CANNON have 120 power
Made BONE RUSH have 90% accuracy
Made OUTRAGE have 120 power and 10 PP
Made GIGA DRAIN have 75 power and 10 PP
Made SWAGGER have 85% accuracy
Made FURY CUTTER have 40 power
Made FUTURE SIGHT have 120 power, 10 PP and 100% accuracy
Made ROCK SMASH have 40 power
Made WHIRLPOOL have 35 power and 85% accuracy

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ITEM
  1|BULBASAUR    |GRASS/POISON     |  45|  49|  49|  65|  65|  45|
  2|IVYSAUR      |GRASS/POISON     |  60|  62|  63|  80|  80|  60|DRAGON SCALE (common), BERRY JUICE (rare)
  3|VENUSAUR     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|TM36 (common), LEAF STONE (rare)
  4|CHARMANDER   |FIRE             |  39|  52|  43|  60|  50|  65|HEAL POWDER (common), BIG PEARL (rare)
  5|CHARMELEON   |FIRE             |  58|  64|  58|  80|  65|  80|SPELL TAG (common), TM34 (rare)
  6|CHARIZARD    |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|
  7|SQUIRTLE     |WATER            |  44|  48|  65|  50|  64|  43|
  8|WARTORTLE    |WATER            |  59|  63|  80|  65|  80|  58|
  9|BLASTOISE    |WATER            |  79|  83| 100|  85| 105|  78|TM27 (common), GOLD BERRY (rare)
 10|CATERPIE     |BUG              |  45|  30|  35|  20|  20|  45|
 11|METAPOD      |BUG              |  50|  20|  55|  25|  25|  30|TM49 (rare)
 12|BUTTERFREE   |BUG/FLYING       |  60|  45|  50|  80|  80|  70|SUN STONE (common), SHARP BEAK (rare)
 13|WEEDLE       |BUG/POISON       |  40|  35|  30|  20|  20|  50|
 14|KAKUNA       |BUG/POISON       |  45|  25|  50|  25|  25|  35|TM33 (common), TM02 (rare)
 15|BEEDRILL     |BUG/POISON       |  65|  80|  40|  45|  80|  75|
 16|PIDGEY       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|LEFTOVERS (common), TWISTEDSPOON (rare)
 17|PIDGEOTTO    |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|
 18|PIDGEOT      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|
 19|RATTATA      |NORMAL           |  30|  56|  35|  25|  35|  72|SLOWPOKETAIL (rare)
 20|RATICATE     |NORMAL           |  55|  81|  60|  50|  70|  97|
 21|SPEAROW      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|X ATTACK (common), TM24 (rare)
 22|FEAROW       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|
 23|EKANS        |POISON           |  35|  60|  44|  40|  54|  55|TM01 (common), PROTEIN (rare)
 24|ARBOK        |POISON           |  60|  85|  69|  65|  79|  80|SOFT SAND (common)
 25|PIKACHU      |ELECTRIC         |  35|  55|  30|  50|  40|  90|RAGECANDYBAR (common), MOON BALL (rare)
