Randomizer Version: 4.6.1
Random Seed: 141016348878348
Settings String: 322IwgkEgIBAAQABwAEAAKoJBkCKgEAKgAVCQABEAAAAD8AAAAIMgQyAQAICTIHBwAyAAIQElBva2Vtb24gT21lZ2EgUnVieWMeSnzjwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Leech Life have 80 power and 10 PP
Made Swagger have 85% accuracy
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
  1|Bulbasaur       |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Frisk         |Flower Veil   |Simple        |Black Sludge (rare)
  2|Ivysaur         |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Skill Link    |—             |Illuminate    |
  3|Venusaur        |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Bad Dreams    |—             |Thick Fat     |
  4|Charmander      |FIRE             |  39|  52|  43|  60|  50|  65|Klutz         |Intimidate    |Levitate      |
  5|Charmeleon      |FIRE             |  58|  64|  58|  80|  65|  80|Effect Spore  |—             |Klutz         |Muscle Band (common), Wave Incense (rare)
  6|Charizard       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Intimidate    |Frisk         |Forewarn      |Dusk Ball (100%)
  7|Squirtle        |WATER            |  44|  48|  65|  50|  64|  43|Imposter      |—             |Hyper Cutter  |
  8|Wartortle       |WATER            |  59|  63|  80|  65|  80|  58|Shell Armor   |Rattled       |Intimidate    |
  9|Blastoise       |WATER            |  79|  83| 100|  85| 105|  78|Honey Gather  |—             |Skill Link    |
 10|Caterpie        |BUG              |  45|  30|  35|  20|  20|  45|Gluttony      |Aerilate      |Heatproof     |
 11|Metapod         |BUG              |  50|  20|  55|  25|  25|  30|Pixilate      |Technician    |Multiscale    |
 12|Butterfree      |BUG/FLYING       |  60|  45|  50|  90|  80|  70|Delta Stream  |—             |Illusion      |
 13|Weedle          |BUG/POISON       |  40|  35|  30|  20|  20|  50|Gale Wings    |Desolate Land |Grass Pelt    |Whipped Dream (rare)
 14|Kakuna          |BUG/POISON       |  45|  25|  50|  25|  25|  35|Overcoat      |Color Change  |Bulletproof   |Pecha Berry (common), Dubious Disc (rare)
 15|Beedrill        |BUG/POISON       |  65|  90|  40|  45|  80|  75|Anger Point   |Forewarn      |Multiscale    |
 16|Pidgey          |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Magician      |Scrappy       |Wonder Skin   |Safari Ball (common), Ground Gem (rare)
 17|Pidgeotto       |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Normalize     |—             |Strong Jaw    |
 18|Pidgeot         |NORMAL/FLYING    |  83|  80|  75|  70|  70| 101|Thick Fat     |Magic Bounce  |Rattled       |
 19|Rattata         |NORMAL           |  30|  56|  35|  25|  35|  72|Overcoat      |—             |Aroma Veil    |
 20|Raticate        |NORMAL           |  55|  81|  60|  50|  70|  97|Technician    |Poison Heal   |Snow Cloak    |Coba Berry (rare)
 21|Spearow         |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Dry Skin      |—             |Poison Heal   |Dive Ball (rare)
 22|Fearow          |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Chlorophyll   |Keen Eye      |Bulletproof   |Soft Sand (rare)
 23|Ekans           |POISON           |  35|  60|  44|  40|  54|  55|Teravolt      |Plus          |Download      |Persim Berry (common), Toxic Orb (rare)
 24|Arbok           |POISON           |  60|  85|  69|  65|  79|  80|Fur Coat      |—             |Pure Power    |Prism Scale (common)
 25|Pikachu         |ELECTRIC         |  35|  55|  40|  50|  50|  90|Leaf Guard    |—             |Damp          |
 26|Raichu          |ELECTRIC         |  60|  90|  55|  90|  80| 110|Refrigerate   |—             |Honey Gather  |Altarianite (common), Mewtwonite X (rare)
 27|Sandshrew       |GROUND           |  50|  75|  85|  20|  30|  40|White Smoke   |—             |Leaf Guard    |
 28|Sandslash       |GROUND           |  75| 100| 110|  45|  55|  65|Poison Point  |—             |Pressure      |
 29|Nidoran♀        |POISON           |  55|  47|  52|  40|  40|  41|Lightning Rod |No Guard      |Magma Armor   |Ability Capsule (rare)
 30|Nidorina        |POISON           |  70|  62|  67|  55|  55|  56|Magician      |Motor Drive   |Drizzle       |
 31|Nidoqueen       |POISON/GROUND    |  90|  92|  87|  75|  85|  76|Minus         |—             |Infiltrator   |
 32|Nidoran♂        |POISON           |  46|  57|  40|  40|  40|  50|Steadfast     |Inner Focus   |Mega Launcher |
 33|Nidorino        |POISON           |  61|  72|  57|  55|  55|  65|Pickup        |Drought       |Water Absorb  |
 34|Nidoking        |POISON/GROUND    |  81| 102|  77|  85|  75|  85|Anger Point   |Rain Dish     |Inner Focus   |Max Elixir (rare)
 35|Clefairy        |FAIRY            |  70|  45|  48|  60|  65|  35|Static        |Dry Skin      |Turboblaze    |
 36|Clefable        |FAIRY            |  95|  70|  73|  95|  90|  60|No Guard      |—             |Turboblaze    |
 37|Vulpix          |FIRE             |  38|  41|  40|  50|  65|  65|Regenerator   |—             |Lightning Rod |Aspear Berry (100%)
 38|Ninetales       |FIRE             |  73|  76|  75|  81| 100| 100|Magic Guard   |—             |Primordial Sea|
 39|Jigglypuff      |NORMAL/FAIRY     | 115|  45|  20|  45|  25|  20|Mold Breaker  |—             |Run Away      |
 40|Wigglytuff      |NORMAL/FAIRY     | 140|  70|  45|  85|  50|  45|Plus          |—             |Mega Launcher |Wacan Berry (common), Dream Ball (rare)
 41|Zubat           |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Telepathy     |—             |Strong Jaw    |Snowball (rare)
 42|Golbat          |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Ice Body      |—             |Sniper        |
