Randomizer Version: 4.6.1
Random Seed: 187049508651317
Settings String: 322IwgkEgIBAAQABwAEAAKoJBkCKgEAFAAVCQABEAAAAD8AAAAIMgQyAQAICTIHBwAyAAIQElBva2Vtb24gT21lZ2EgUnVieSV6q0zjwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Leech Life have 80 power and 10 PP
Made Swagger have 85% accuracy
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
  1|Bulbasaur       |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Cheek Pouch   |--            |Aftermath     |Poké Ball (common)
  2|Ivysaur         |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Justified     |Illusion      |Harvest       |Lucky Egg (common)
  3|Venusaur        |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Dry Skin      |Fairy Aura    |Inner Focus   |
  4|Charmander      |FIRE             |  39|  52|  43|  60|  50|  65|Sweet Veil    |Victory Star  |Heatproof     |Razor Fang (common), Occa Berry (rare)
  5|Charmeleon      |FIRE             |  58|  64|  58|  80|  65|  80|Anticipation  |--            |Fairy Aura    |
  6|Charizard       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Weak Armor    |--            |Early Bird    |
  7|Squirtle        |WATER            |  44|  48|  65|  50|  64|  43|Sticky Hold   |--            |Magician      |Meadow Plate (rare)
  8|Wartortle       |WATER            |  59|  63|  80|  65|  80|  58|Gluttony      |Victory Star  |Rock Head     |Power Lens (common), Soda Pop (rare)
  9|Blastoise       |WATER            |  79|  83| 100|  85| 105|  78|Frisk         |--            |Pickpocket    |
 10|Caterpie        |BUG              |  45|  30|  35|  20|  20|  45|Liquid Ooze   |--            |Flare Boost   |Lucarionite (rare)
 11|Metapod         |BUG              |  50|  20|  55|  25|  25|  30|Refrigerate   |--            |Unaware       |Banettite (common), Scizorite (rare)
 12|Butterfree      |BUG/FLYING       |  60|  45|  50|  90|  80|  70|Hydration     |--            |Magma Armor   |
 13|Weedle          |BUG/POISON       |  40|  35|  30|  20|  20|  50|Contrary      |--            |Big Pecks     |
 14|Kakuna          |BUG/POISON       |  45|  25|  50|  25|  25|  35|Defeatist     |--            |Pixilate      |
 15|Beedrill        |BUG/POISON       |  65|  90|  40|  45|  80|  75|Hydration     |Speed Boost   |Strong Jaw    |
 16|Pidgey          |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Run Away      |--            |Mummy         |Berry Juice (rare)
 17|Pidgeotto       |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Telepathy     |Sap Sipper    |Iron Fist     |
 18|Pidgeot         |NORMAL/FLYING    |  83|  80|  75|  70|  70| 101|Symbiosis     |--            |Heavy Metal   |
 19|Rattata         |NORMAL           |  30|  56|  35|  25|  35|  72|Defiant       |--            |Synchronize   |Up-Grade (rare)
 20|Raticate        |NORMAL           |  55|  81|  60|  50|  70|  97|Drizzle       |White Smoke   |Thick Fat     |Shuca Berry (rare)
 21|Spearow         |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Pressure      |--            |Hyper Cutter  |Yache Berry (common), Leaf Stone (rare)
 22|Fearow          |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Unnerve       |Intimidate    |Iron Barbs    |
 23|Ekans           |POISON           |  35|  60|  44|  40|  54|  55|Scrappy       |Iron Barbs    |Early Bird    |
 24|Arbok           |POISON           |  60|  85|  69|  65|  79|  80|Steadfast     |Protean       |Bad Dreams    |
 25|Pikachu         |ELECTRIC         |  35|  55|  40|  50|  50|  90|Compound Eyes |--            |Stench        |
 26|Raichu          |ELECTRIC         |  60|  90|  55|  90|  80| 110|White Smoke   |--            |Parental Bond |
 27|Sandshrew       |GROUND           |  50|  75|  85|  20|  30|  40|Water Veil    |--            |Teravolt      |Heart Scale (rare)
 28|Sandslash       |GROUND           |  75| 100| 110|  45|  55|  65|Scrappy       |Overgrow      |No Guard      |Kee Berry (rare)
 29|Nidoran♀        |POISON           |  55|  47|  52|  40|  40|  41|Aroma Veil    |--            |Imposter      |
 30|Nidorina        |POISON           |  70|  62|  67|  55|  55|  56|Contrary      |--            |Leaf Guard    |Super Potion (common)
 31|Nidoqueen       |POISON/GROUND    |  90|  92|  87|  75|  85|  76|Water Veil    |--            |Mold Breaker  |Water Stone (common)
 32|Nidoran♂        |POISON           |  46|  57|  40|  40|  40|  50|Solar Power   |Anticipation  |Flash Fire    |Charizardite Y (rare)
 33|Nidorino        |POISON           |  61|  72|  57|  55|  55|  65|Run Away      |Sheer Force   |Anticipation  |Psychic Gem (common)
 34|Nidoking        |POISON/GROUND    |  81| 102|  77|  85|  75|  85|Limber        |Normalize     |Anger Point   |
 35|Clefairy        |FAIRY            |  70|  45|  48|  60|  65|  35|Sand Stream   |Speed Boost   |Hustle        |
 36|Clefable        |FAIRY            |  95|  70|  73|  95|  90|  60|Reckless      |--            |Air Lock      |
 37|Vulpix          |FIRE             |  38|  41|  40|  50|  65|  65|Competitive   |--            |Effect Spore  |Pixie Plate (rare)
 38|Ninetales       |FIRE             |  73|  76|  75|  81| 100| 100|Solar Power   |Refrigerate   |Hyper Cutter  |Charizardite X (common)
 39|Jigglypuff      |NORMAL/FAIRY     | 115|  45|  20|  45|  25|  20|Rough Skin    |Compound Eyes |Tinted Lens   |Bright Powder (common)
 40|Wigglytuff      |NORMAL/FAIRY     | 140|  70|  45|  85|  50|  45|Color Change  |--            |Heavy Metal   |HP Up (common), Razor Claw (rare)
 41|Zubat           |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Slow Start    |--            |Unaware       |
 42|Golbat          |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Gluttony      |--            |Tough Claws   |Old Amber (common), Aerodactylite (rare)
 43|Oddish          |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Skill Link    |Slow Start    |Unnerve       |Lumiose Galette (rare)
 44|Gloom           |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Tangled Feet  |--            |Aroma Veil    |
 45|Vileplume       |GRASS/POISON     |  75|  80|  85| 110|  90|  50|Sheer Force   |Torrent       |Overgrow      |
 46|Paras           |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Intimidate    |Sand Veil     |Flash Fire    |Shiny Stone (common)
 47|Parasect        |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Overgrow      |Sniper        |Poison Heal   |Aerodactylite (common)
 48|Venonat         |BUG/POISON       |  60|  55|  50|  40|  55|  45|Aerilate      |--            |Competitive   |Sun Stone (rare)
 49|Venomoth        |BUG/POISON       |  70|  65|  60|  90|  75|  90|Gale Wings    |Prankster     |Guts          |Red Flute (common), Big Root (rare)
 50|Diglett         |GROUND           |  10|  55|  25|  35|  45|  95|Huge Power    |--            |Stall         |
 51|Dugtrio         |GROUND           |  35|  80|  50|  50|  70| 120|Analytic      |--            |Competitive   |
 52|Meowth          |NORMAL           |  40|  45|  35|  40|  40|  90|Magic Bounce  |--            |Big Pecks     |X Attack (common), Meadow Plate (rare)
 53|Persian         |NORMAL           |  65|  70|  60|  65|  65| 115|Clear Body    |--            |Tangled Feet  |
 54|Psyduck         |WATER            |  50|  52|  48|  65|  50|  55|Stench        |Rough Skin    |Oblivious     |Rage Candy Bar (common), Passho Berry (rare)
 55|Golduck         |WATER            |  80|  82|  78|  95|  80|  85|Aura Break    |--            |Bad Dreams    |
 56|Mankey          |FIGHTING         |  40|  80|  35|  35|  45|  70|Sand Veil     |--            |Water Absorb  |Pecha Berry (rare)
 57|Primeape        |FIGHTING         |  65| 105|  60|  60|  70|  95|Honey Gather  |--            |Cloud Nine    |Black Glasses (100%)
