Randomizer Version: 4.6.1
Random Seed: 77749608703462
Settings String: 322IwgkEgIBAAQABwAEAAKoJBkCKgEAKgAVCQABEAAAAD8AAAAIMgQyAQAICTIHBwAyAAIQElBva2Vtb24gT21lZ2EgUnVieWMeSnzjwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Leech Life have 80 power and 10 PP
Made Swagger have 85% accuracy
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
  1|Bulbasaur       |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Immunity      |—             |Soundproof    |
  2|Ivysaur         |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Sand Stream   |Sap Sipper    |Harvest       |
  3|Venusaur        |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Magma Armor   |—             |Flare Boost   |Absorb Bulb (common), Power Lens (rare)
  4|Charmander      |FIRE             |  39|  52|  43|  60|  50|  65|Healer        |—             |Aura Break    |
  5|Charmeleon      |FIRE             |  58|  64|  58|  80|  65|  80|Swarm         |Liquid Ooze   |Synchronize   |
  6|Charizard       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Drought       |—             |Moody         |Shoal Salt (rare)
  7|Squirtle        |WATER            |  44|  48|  65|  50|  64|  43|Hustle        |—             |Skill Link    |
  8|Wartortle       |WATER            |  59|  63|  80|  65|  80|  58|Aura Break    |—             |Magic Bounce  |Black Glasses (common), Ability Capsule (rare)
  9|Blastoise       |WATER            |  79|  83| 100|  85| 105|  78|Aftermath     |—             |Huge Power    |Kee Berry (common), Potion (rare)
 10|Caterpie        |BUG              |  45|  30|  35|  20|  20|  45|Weak Armor    |Speed Boost   |Flame Body    |
 11|Metapod         |BUG              |  50|  20|  55|  25|  25|  30|Battle Armor  |—             |Aura Break    |Sky Plate (100%)
 12|Butterfree      |BUG/FLYING       |  60|  45|  50|  90|  80|  70|Drizzle       |—             |Iron Fist     |Shell Bell (common), X Sp. Atk (rare)
 13|Weedle          |BUG/POISON       |  40|  35|  30|  20|  20|  50|Moody         |—             |Solid Rock    |
 14|Kakuna          |BUG/POISON       |  45|  25|  50|  25|  25|  35|Shell Armor   |—             |Immunity      |
 15|Beedrill        |BUG/POISON       |  65|  90|  40|  45|  80|  75|Iron Fist     |—             |Bad Dreams    |
 16|Pidgey          |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Weak Armor    |—             |Hustle        |Red Shard (common), Cherish Ball (rare)
 17|Pidgeotto       |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Truant        |—             |Thick Fat     |PP Max (rare)
 18|Pidgeot         |NORMAL/FLYING    |  83|  80|  75|  70|  70| 101|Magic Bounce  |Early Bird    |Gooey         |
 19|Rattata         |NORMAL           |  30|  56|  35|  25|  35|  72|Aerilate      |—             |Primordial Sea|
 20|Raticate        |NORMAL           |  55|  81|  60|  50|  70|  97|Air Lock      |Hustle        |Thick Fat     |
 21|Spearow         |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Cute Charm    |—             |Steadfast     |
 22|Fearow          |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Snow Warning  |—             |Prankster     |
 23|Ekans           |POISON           |  35|  60|  44|  40|  54|  55|Shed Skin     |Flare Boost   |Solid Rock    |
 24|Arbok           |POISON           |  60|  85|  69|  65|  79|  80|Slow Start    |Unnerve       |Overcoat      |
 25|Pikachu         |ELECTRIC         |  35|  55|  40|  50|  50|  90|Steadfast     |Protean       |Sniper        |Lansat Berry (common), Energy Root (rare)
 26|Raichu          |ELECTRIC         |  60|  90|  55|  90|  80| 110|Run Away      |Refrigerate   |Color Change  |
 27|Sandshrew       |GROUND           |  50|  75|  85|  20|  30|  40|Swift Swim    |—             |Blaze         |Electirizer (rare)
 28|Sandslash       |GROUND           |  75| 100| 110|  45|  55|  65|Flame Body    |Marvel Scale  |Klutz         |
 29|Nidoran♀        |POISON           |  55|  47|  52|  40|  40|  41|Pixilate      |Snow Warning  |Honey Gather  |Soothe Bell (common)
 30|Nidorina        |POISON           |  70|  62|  67|  55|  55|  56|Compound Eyes |Unaware       |Water Absorb  |
