Randomizer Version: 4.6.1
Random Seed: 78629769806924
Settings String: 322IwgkEgIBAAQABwAEAAKoJBkCKgEAKgAVCQABEAAAAD8AAAAIMgQyAQAICTIHBwAyAAIQElBva2Vtb24gT21lZ2EgUnVieWMeSnzjwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Leech Life have 80 power and 10 PP
Made Swagger have 85% accuracy
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
  1|Bulbasaur       |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Scrappy       |—             |Pure Power    |Whipped Dream (rare)
  2|Ivysaur         |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Dark Aura     |Scrappy       |Water Veil    |
  3|Venusaur        |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Natural Cure  |Teravolt      |Minus         |
  4|Charmander      |FIRE             |  39|  52|  43|  60|  50|  65|Unaware       |Natural Cure  |Aerilate      |Mental Herb (common), Shoal Shell (rare)
  5|Charmeleon      |FIRE             |  58|  64|  58|  80|  65|  80|Turboblaze    |—             |Filter        |Burn Drive (100%)
  6|Charizard       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Steadfast     |—             |Fairy Aura    |
  7|Squirtle        |WATER            |  44|  48|  65|  50|  64|  43|Contrary      |Minus         |Serene Grace  |Timer Ball (common)
  8|Wartortle       |WATER            |  59|  63|  80|  65|  80|  58|Slow Start    |Rivalry       |Solar Power   |Armor Fossil (100%)
  9|Blastoise       |WATER            |  79|  83| 100|  85| 105|  78|Drizzle       |—             |Normalize     |
 10|Caterpie        |BUG              |  45|  30|  35|  20|  20|  45|Toxic Boost   |—             |Friend Guard  |
 11|Metapod         |BUG              |  50|  20|  55|  25|  25|  30|Refrigerate   |—             |Ice Body      |Cameruptite (common), Health Wing (rare)
 12|Butterfree      |BUG/FLYING       |  60|  45|  50|  90|  80|  70|Magic Bounce  |Sturdy        |Aroma Veil    |
 13|Weedle          |BUG/POISON       |  40|  35|  30|  20|  20|  50|Blaze         |—             |Intimidate    |Iron Ball (common), Lum Berry (rare)
 14|Kakuna          |BUG/POISON       |  45|  25|  50|  25|  25|  35|Normalize     |—             |Sap Sipper    |
 15|Beedrill        |BUG/POISON       |  65|  90|  40|  45|  80|  75|Storm Drain   |Gluttony      |Lightning Rod |
 16|Pidgey          |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Intimidate    |—             |Guts          |
 17|Pidgeotto       |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Ice Body      |Immunity      |Speed Boost   |
 18|Pidgeot         |NORMAL/FLYING    |  83|  80|  75|  70|  70| 101|Delta Stream  |—             |Hyper Cutter  |
 19|Rattata         |NORMAL           |  30|  56|  35|  25|  35|  72|Ice Body      |—             |Sand Rush     |
